Year,Month,Risk
Year 2021,Jan,0.425
Year 2021,Jan,0.425
Year 2021,Jan,0.4
Year 2021,Jan,0.425
Year 2021,Jan,0.425
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.525
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.475
Year 2021,Jan,0.45
Year 2021,Jan,0.5
Year 2021,Jan,0.475
Year 2021,Jan,0.525
Year 2021,Jan,0.575
Year 2021,Jan,0.6
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.45
Year 2021,Jan,0.425
Year 2021,Jan,0.425
Year 2021,Jan,0.425
Year 2021,Jan,0.45
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.475
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.525
Year 2021,Jan,0.5
Year 2021,Jan,0.6
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.55
Year 2021,Jan,0.45
Year 2021,Jan,0.45
Year 2021,Jan,0.425
Year 2021,Jan,0.45
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.575
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.55
Year 2021,Jan,0.475
Year 2021,Jan,0.475
Year 2021,Jan,0.45
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.525
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.5
Year 2021,Jan,0.675
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.5
Year 2021,Jan,0.475
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.675
Year 2021,Jan,0.625
Year 2021,Jan,0.675
Year 2021,Jan,0.675
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.525
Year 2021,Jan,0.5
Year 2021,Jan,0.475
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.65
Year 2021,Jan,0.6
Year 2021,Jan,0.675
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.525
Year 2021,Jan,0.525
Year 2021,Jan,0.475
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.575
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.675
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.525
Year 2021,Jan,0.5
Year 2021,Jan,0.525
Year 2021,Jan,0.5
Year 2021,Jan,0.575
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.45
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.575
Year 2021,Feb,0.6250001
Year 2021,Feb,0.575
Year 2021,Feb,0.5500001
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.45
Year 2021,Feb,0.4750001
Year 2021,Feb,0.575
Year 2021,Feb,0.6250001
Year 2021,Feb,0.575
Year 2021,Feb,0.5500001
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.5000001
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4250001
Year 2021,Feb,0.3750001
Year 2021,Feb,0.35
Year 2021,Feb,0.3750001
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.525
Year 2021,Feb,0.575
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.5000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.4000001
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.3750001
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4250001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.575
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.35
Year 2021,Feb,0.325
Year 2021,Feb,0.325
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.3750001
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.525
Year 2021,Feb,0.5500001
Year 2021,Feb,0.525
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.325
Year 2021,Feb,0.3
Year 2021,Feb,0.3
Year 2021,Feb,0.3
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.3
Year 2021,Feb,0.325
Year 2021,Feb,0.3
Year 2021,Feb,0.275
Year 2021,Feb,0.3
Year 2021,Feb,0.325
Year 2021,Feb,0.3
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.525
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.525
Year 2021,Feb,0.4750001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.275
Year 2021,Feb,0.275
Year 2021,Feb,0.25
Year 2021,Feb,0.3
Year 2021,Feb,0.275
Year 2021,Feb,0.3
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.45
Year 2021,Feb,0.5500001
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.525
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.5000001
Year 2021,Feb,0.3
Year 2021,Feb,0.275
Year 2021,Feb,0.25
Year 2021,Feb,0.275
Year 2021,Feb,0.25
Year 2021,Feb,0.275
Year 2021,Feb,0.3
Year 2021,Feb,0.3
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.45
Year 2021,Feb,0.575
Year 2021,Feb,0.5500001
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.525
Year 2021,Feb,0.3
Year 2021,Feb,0.275
Year 2021,Feb,0.25
Year 2021,Feb,0.25
Year 2021,Feb,0.275
Year 2021,Feb,0.25
Year 2021,Feb,0.275
Year 2021,Feb,0.3
Year 2021,Feb,0.325
Year 2021,Feb,0.3750001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.575
Year 2021,Feb,0.525
Year 2021,Feb,0.5500001
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.3
Year 2021,Feb,0.275
Year 2021,Feb,0.25
Year 2021,Feb,0.25
Year 2021,Feb,0.25
Year 2021,Feb,0.275
Year 2021,Feb,0.275
Year 2021,Feb,0.3
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.4000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.575
Year 2021,Feb,0.575
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.3
Year 2021,Feb,0.275
Year 2021,Feb,0.25
Year 2021,Feb,0.25
Year 2021,Feb,0.25
Year 2021,Feb,0.3
Year 2021,Feb,0.275
Year 2021,Feb,0.3
Year 2021,Feb,0.3
Year 2021,Feb,0.325
Year 2021,Feb,0.4000001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.45
Year 2021,Feb,0.4750001
Year 2021,Feb,0.45
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.3
Year 2021,Feb,0.275
Year 2021,Feb,0.25
Year 2021,Feb,0.25
Year 2021,Feb,0.275
Year 2021,Feb,0.275
Year 2021,Feb,0.3
Year 2021,Feb,0.325
Year 2021,Feb,0.325
Year 2021,Feb,0.3
Year 2021,Feb,0.4000001
Year 2021,Feb,0.3750001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.525
Year 2021,Feb,0.4750001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.525
Year 2021,Feb,0.525
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.3
Year 2021,Feb,0.275
Year 2021,Feb,0.25
Year 2021,Feb,0.25
Year 2021,Feb,0.275
Year 2021,Feb,0.3
Year 2021,Feb,0.35
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.3750001
Year 2021,Feb,0.3750001
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.5500001
Year 2021,Feb,0.525
Year 2021,Feb,0.5000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.275
Year 2021,Feb,0.275
Year 2021,Feb,0.25
Year 2021,Feb,0.275
Year 2021,Feb,0.275
Year 2021,Feb,0.3
Year 2021,Feb,0.325
Year 2021,Feb,0.3750001
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.325
Year 2021,Feb,0.3
Year 2021,Feb,0.35
Year 2021,Feb,0.325
Year 2021,Feb,0.3750001
Year 2021,Feb,0.4250001
Year 2021,Feb,0.45
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.45
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4250001
Year 2021,Feb,0.3
Year 2021,Feb,0.275
Year 2021,Feb,0.275
Year 2021,Feb,0.275
Year 2021,Feb,0.3
Year 2021,Feb,0.3
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.325
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.3750001
Year 2021,Feb,0.35
Year 2021,Feb,0.45
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.45
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.3
Year 2021,Feb,0.3
Year 2021,Feb,0.275
Year 2021,Feb,0.3
Year 2021,Feb,0.3
Year 2021,Feb,0.325
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4250001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.325
Year 2021,Feb,0.325
Year 2021,Feb,0.3
Year 2021,Feb,0.3
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.3750001
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4250001
Year 2021,Feb,0.35
Year 2021,Feb,0.4750001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.45
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.35
Year 2021,Feb,0.325
Year 2021,Feb,0.3
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.4000001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.4250001
Year 2021,Feb,0.525
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.3750001
Year 2021,Feb,0.35
Year 2021,Feb,0.325
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4250001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.45
Year 2021,Feb,0.4250001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.45
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.3750001
Year 2021,Feb,0.3750001
Year 2021,Feb,0.325
Year 2021,Feb,0.325
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.4250001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.525
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.45
Year 2021,Feb,0.45
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.35
Year 2021,Feb,0.35
Year 2021,Feb,0.3750001
Year 2021,Feb,0.35
Year 2021,Feb,0.3750001
Year 2021,Feb,0.35
Year 2021,Feb,0.4250001
Year 2021,Feb,0.45
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.5000001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.4750001
Year 2021,Feb,0.45
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4250001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.4000001
Year 2021,Feb,0.4000001
